References,Reaction,Year
Patent; I.G.Farbenind.; DE738400; (1937); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=CC(C)=O.CC(=O)CC(C)=O>>CC(=O)CCC(C(C)=O)C(C)=O,1937
Patent; I.G.Farbenind.; DE738400; (1937); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=C(C)C(=O)OC.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(CC(C)C(=O)OC)C(=O)OCC,1937
Patent; I.G.Farbenind.; DE738400; (1937); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=CC(C)=O.CCOC(=O)CC(C)=O>>CCOC(=O)C(CCC(C)=O)C(C)=O,1937
Patent; I.G.Farbenind.; DE738400; (1937); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=CC(=O)OCCCC.CCOC(=O)CC(C)=O>>CCCCOC(=O)CCC(C(C)=O)C(=O)OCC,1937
"Article; Michailow; Zhurnal Obshchei Khimii; vol. 7; (1937); p. 2950,2951; Chemisches Zentralblatt; vol. 109; II; (1938); p. 3917;",O=C(C=Cc1ccccc1)c1ccccc1.O=C1CCCC(=O)C1>>O=C(CC(c1ccccc1)C1C(=O)CCCC1=O)c1ccccc1,1937
Patent; I.G.Farbenind.; DE738400; (1937); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=CC(=O)OC.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(CCC(=O)OC)C(=O)OCC,1937
"Article; Connor; McClellan; Journal of Organic Chemistry; vol. 3; (1938); p. 570,575;",CCOC(=O)CC(=O)OCC.O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1,1938
"Article; Connor; McClellan; Journal of Organic Chemistry; vol. 3; (1938); p. 570,575;",CCOC(=O)CC(=O)OCC.O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,1938
Patent; Farbenfabr. Bayer; DE904532; (1940); C;,C=CC#N.CCOC(=O)C1CCCC1=O>>CCOC(=O)C1(CCC#N)CCCC1=O,1940
"Article; Breslow; Hauser; Journal of the American Chemical Society; vol. 62; (1940); p. 2385,2388;",CCOC(=O)C(=Cc1ccccc1)C(=O)OCC.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)C(c1ccccc1)C(C(=O)OCC)C(=O)OCC,1940
Patent; I.G.Farbenind.; DE732743; (1940); C; DRP/DRBP Org.Chem.; DRP/DRBP Org.Chem.;,C=CC#N.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(CCC#N)C(=O)OCC,1940
Patent; BASF; DE851342; (1940); C;,C=CC#N.CC(C)[N+](=O)[O-]>>CC(C)(CCC#N)[N+](=O)[O-],1940
Article; Kuehn; Journal fur praktische Chemie (Leipzig 1954); vol. 156; (1940); p. 142;,C=CC(=O)OCC.CCOC(=O)CC(C)=O>>CCOC(=O)CCC(C(C)=O)C(=O)OCC,1940
Article; Cope et al.; Journal of the American Chemical Society; vol. 63; (1941); p. 356;,CN1C(=O)C(=Cc2ccccc2)C(=O)N(C)C1=O>>CN1C(=O)C(Cc2ccccc2)C(=O)N(C)C1=O,1941
Patent; Resinous Prod.&amp; Chem.Co.; US2361259; (1941); A;,C=CC#N.CC[N+](=O)[O-]>>CC(CCC#N)[N+](=O)[O-],1941
Article; Koelsch; Journal of the American Chemical Society; vol. 65; (1943); p. 437;,C=CC(=O)OC.N#CCc1ccccc1>>COC(=O)CCC(C#N)c1ccccc1,1943
Article; Rogers; Journal of the Chemical Society; (1943); p. 596;,CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1.C[N+](=O)[O-]>>CN(C)c1ccc(C(CC(=O)c2ccccc2)C[N+](=O)[O-])cc1,1943
Patent; Resinous Prod. &amp; Chem.Co.; US2390918; (1943); A;; ; Patent; Resinous Prod.&amp; Chem.Co.; US2342119; (1941); A;,C=CC(=O)OC.CC(C)[N+](=O)[O-]>>COC(=O)CCC(C)(C)[N+](=O)[O-],1943
Patent; BASF; DE857362; (1943); C;,C=CC(=O)OC.C[N+](=O)[O-]>>COC(=O)CCC[N+](=O)[O-],1943
Patent; Resinous Prod. &amp; Chem.Co.; US2390918; (1943); A;,C=CC(=O)OC.CC[N+](=O)[O-]>>COC(=O)CCC(C)[N+](=O)[O-],1943
"Article; Rogers; Journal of the Chemical Society; (1943); p. 596;; ; Article; Davey; Tivey; Journal of the Chemical Society; (1958); p. 2276,2281;",COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1.C[N+](=O)[O-]>>COc1ccc(C(=O)CC(C[N+](=O)[O-])c2ccc(OC)cc2)cc1,1943
Article; Koelsch; Journal of the American Chemical Society; vol. 65; (1943); p. 437;,N#C/C=C/c1ccccc1.N#CCc1ccccc1>>N#CCC(c1ccccc1)C(C#N)c1ccccc1,1943
Patent; Bahner; US2425276; (1945); A;,CCOC(=O)CC(C)=O.O=[N+]([O-])C=Cc1ccccc1>>CCOC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccccc1,1945
Article; Albertson; Archer; Journal of the American Chemical Society; vol. 67; (1945); p. 2043;,C=CC#N.CCOC(=O)C(NC(C)=O)C(=O)OCC>>CCOC(=O)C(CCC#N)(NC(C)=O)C(=O)OCC,1945
Patent; Bahner; US2425276; (1945); A;,CCOC(=O)CC(=O)c1ccccc1.O=[N+]([O-])/C=C/c1ccccc1>>CCOC(=O)C(C(=O)c1ccccc1)C(C[N+](=O)[O-])c1ccccc1,1945
"Patent; Gen. Mills Inc.; US2610204; (1947); A;; ; Article; Mousseron et al.; Bulletin de la Societe Chimique de France; (1954); p. 1246,1251; Bulletin de la Societe Chimique de France; (1956); p. 1737,1741;",C=CC=O.CCOC(=O)CC(C)=O>>CCOC(=O)C(CCC=O)C(C)=O,1947
Patent; Shell Devel.Co.; US2516729; (1947); A;,C=CC=O.CC(=O)CC(C)=O>>CC(=O)C(CCC=O)C(C)=O,1947
Patent; Gen. Mills; US2468352; (1947); A;,C=CC=O.CCOC(=O)C(NC(C)=O)C(=O)OCC>>CCOC(=O)C(CCC=O)(NC(C)=O)C(=O)OCC,1947
"Article; Kloetzel; Journal of the American Chemical Society; vol. 69; (1947); p. 2271,2273;",C[N+](=O)[O-].O=C(/C=C/c1ccccc1)c1ccccc1>>O=C(CC(C[N+](=O)[O-])c1ccccc1)c1ccccc1,1947
Patent; Rohm &amp; Haas Co.; US2466678; (1947); A;; ; Patent; Rohm &amp; Haas Co.; US2466739; (1947); A;,C=CC#N.CC(=O)C1CCCC1=O>>CC(=O)C1(CCC#N)CCCC1=O,1947
"Article; Kloetzel; Journal of the American Chemical Society; vol. 69; (1947); p. 2271,2273;",CC(=O)/C=C/c1ccccc1.CC(C)[N+](=O)[O-]>>CC(=O)CC(c1ccccc1)C(C)(C)[N+](=O)[O-],1947
"Article; Kloetzel; Journal of the American Chemical Society; vol. 69; (1947); p. 2271,2273;",CC(C)[N+](=O)[O-].O=C(/C=C/c1ccccc1)c1ccccc1>>CC(C)(C(CC(=O)c1ccccc1)c1ccccc1)[N+](=O)[O-],1947
"Article; Kloetzel; Journal of the American Chemical Society; vol. 69; (1947); p. 2271,2273;",CC(=O)C=C(C)C.C[N+](=O)[O-]>>CC(=O)CC(C)(C)C[N+](=O)[O-],1947
Article; Kloetzel; Journal of the American Chemical Society; vol. 70; (1948); p. 3574;,C=CC(=O)OC.CCC[N+](=O)[O-]>>CCC(CCC(=O)OC)[N+](=O)[O-],1948
"Article; Campbell; Carter; Slater; Journal of the Chemical Society; (1948); p. 1741,1744;",C=CC#N.CC(C)C(=O)c1ccccc1>>CC(C)(CCC#N)C(=O)c1ccccc1,1948
"Article; Henecka; Chemische Berichte; vol. 81; (1948); p. 197,208;",C=CC#N.CCOC(=O)C1CCCCC1=O>>CCOC(=O)C1(CCC#N)CCCCC1=O,1948
Patent; Shell Devel.Co.; US2623904; (1948); A;,C=CC=O.CC(C)[N+](=O)[O-]>>CC(C)(CCC=O)[N+](=O)[O-],1948
Article; Leonard; Shoemaker; Journal of the American Chemical Society; vol. 71; (1949); p. 1877;,CCOC(=O)/C=C/CC(=O)OCC.C[N+](=O)[O-]>>CCOC(=O)CC(CC(=O)OCC)C[N+](=O)[O-],1949
"Article; Henecka; Chemische Berichte; vol. 82; (1949); p. 104,110;",C=CC(C)=O.N#CCc1ccccc1>>CC(=O)CCC(C#N)c1ccccc1,1949
"Article; Henecka; Chemische Berichte; vol. 82; (1949); p. 104,110;",CC(=O)/C=C/c1ccccc1.N#CCc1ccccc1>>CC(=O)CC(c1ccccc1)C(C#N)c1ccccc1,1949
Article; Leonard; Shoemaker; Journal of the American Chemical Society; vol. 71; (1949); p. 1761;,C=C(C)C(=O)OC.CC[N+](=O)[O-]>>COC(=O)C(C)CC(C)[N+](=O)[O-],1949
Article; Leonard; Shoemaker; Journal of the American Chemical Society; vol. 71; (1949); p. 1761;,C=C(C)C(=O)OC.CCC[N+](=O)[O-]>>CCC(CC(C)C(=O)OC)[N+](=O)[O-],1949
Article; Warner; Moe; Journal of the American Chemical Society; vol. 71; (1949); p. 2587;,CC=CC=O.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)C(C)CC=O,1949
Article; Leonard; Shoemaker; Journal of the American Chemical Society; vol. 71; (1949); p. 1761;,C=C(C)C(=O)OC.C[N+](=O)[O-]>>COC(=O)C(C)CC[N+](=O)[O-],1949
"Article; v.Schickh; Angewandte Chemie; vol. 62; (1950); p. 547,554;; ; Patent; Rohm &amp; Haas Co.; US2658070; (1952); A;",C=CC(=O)OCC.C[N+](=O)[O-]>>CCOC(=O)CCC[N+](=O)[O-],1950
"Article; v.Schickh; Angewandte Chemie; vol. 62; (1950); p. 547,554;",C/C=C/C(=O)OC.C[N+](=O)[O-]>>COC(=O)CC(C)C[N+](=O)[O-],1950
Patent; Wisconsin Alumni Research Found.; US2674627; (1950); A;,C=CC(C)=O.O=C1CCCC(=O)C1>>CC(=O)CCC1C(=O)CCCC1=O,1950
"Article; v.Schickh; Angewandte Chemie; vol. 62; (1950); p. 547,554;; ; Article; Shechter et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 3664,3666,3667;",C=CC(C)=O.CC[N+](=O)[O-]>>CC(=O)CCC(C)[N+](=O)[O-],1950
"Article; Cope; Synerholm; Journal of the American Chemical Society; vol. 72; (1950); p. 5228,5230;",C=CC=O.CCOC(=O)C1CCCCC1=O>>CCOC(=O)C1(CCC=O)CCCCC1=O,1950
"Article; Albertson; Journal of the American Chemical Society; vol. 72; (1950); p. 2594,2597; Journal of the American Chemical Society; vol. 74; (1952); p. 249,250;",C=CC#N.CC(=O)C1CCOC1=O>>CC(=O)C1(CCC#N)CCOC1=O,1950
"Article; Albertson; Journal of the American Chemical Society; vol. 72; (1950); p. 2594,2597; Journal of the American Chemical Society; vol. 74; (1952); p. 249,250;",C=CC#N.CCOC(=O)CC(C)=O>>CCOC(=O)C(CCC#N)C(C)=O,1950
"Article; v.Schickh; Angewandte Chemie; vol. 62; (1950); p. 547,554;",C=CC(C)=O.O=[N+]([O-])C1CCCCC1>>CC(=O)CCC1([N+](=O)[O-])CCCCC1,1950
"Article; McCoubrey; Journal of the Chemical Society; (1951); p. 2931,2933;",C[N+](=O)[O-].O=C1C=CCCC1>>O=C1CCCC(C[N+](=O)[O-])C1,1951
"Article; McCoubrey; Journal of the Chemical Society; (1951); p. 2931,2933;",CC[N+](=O)[O-].O=C1C=CCCC1>>CC(C1CCCC(=O)C1)[N+](=O)[O-],1951
Article; Wendler et al.; Journal of the American Chemical Society; vol. 73; (1951); p. 3816;,C=CC(C)=O.CC1C(=O)CCCC1=O>>CC(=O)CCC1(C)C(=O)CCCC1=O,1951
"Article; Shechter et al.; Journal of the American Chemical Society; vol. 74; (1952); p. 3664,3666,3667;",C=CC=O.C[N+](=O)[O-]>>O=CCCC[N+](=O)[O-],1952
