References,Reaction,Year
"Article; Andres, Jose M.; Manzano, Ruben; Pedrosa, Rafae; Chemistry - A European Journal; vol. 14; 17; (2008); p. 5116 - 5119;",CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccccc1>>CC(=O)C(C(C)=O)[C@H](C[N+](=O)[O-])c1ccccc1,2008
"Article; Kakinuma, Tomoko; Chiba, Ryoichi; Oriyama, Takeshi; Chemistry Letters; vol. 37; 12; (2008); p. 1204 - 1205;",O=C(C=Cc1ccccc1)c1ccc(Cl)cc1.O=C(CC(=O)OCc1ccccc1)OCc1ccccc1>>O=C(CC(c1ccccc1)C(C(=O)OCc1ccccc1)C(=O)OCc1ccccc1)c1ccc(Cl)cc1,2008
"Article; Kakinuma, Tomoko; Chiba, Ryoichi; Oriyama, Takeshi; Chemistry Letters; vol. 37; 12; (2008); p. 1204 - 1205;",CC=CC(=O)OCC.N#CCC#N>>CCOC(=O)CC(C)C(C#N)C#N,2008
"Article; Barros, Maria Teresa; Phillips, Ana Maria Faisca; European Journal of Organic Chemistry; 15; (2008); p. 2525 - 2529;",C=C(P(=O)(OCC)OCC)P(=O)(OCC)OCC.O=C1CCCC1>>CCOP(=O)(OCC)C(CC1CCCC1=O)P(=O)(OCC)OCC,2008
"Article; Korotaev, Vladislav Yu.; Sosnovskikh, Vyacheslav Ya.; Kutyashev, Igor B.; Barkov, Alexey Yu.; Shklyaev, Yurii V.; Tetrahedron Letters; vol. 49; 37; (2008); p. 5376 - 5379;",CC1=NC(C)(C)Cc2cc(C)c(C)cc21.O=[N+]([O-])C1=Cc2ccccc2OC1C(F)(F)F>>Cc1cc2c(cc1C)C(C[C@@H]1c3ccccc3O[C@@H](C(F)(F)F)C1[N+](=O)[O-])=NC(C)(C)C2,2008
"Article; Agostinho, Magno; Kobayashi, Shu; Journal of the American Chemical Society; vol. 130; 8; (2008); p. 2430 - 2431;",CCCOC(=O)CC(=O)OCCC.O=C(/C=C/C=C/c1ccccc1)c1ccccc1>>CCCOC(=O)C(C(=O)OCCC)[C@@H](/C=C/c1ccccc1)CC(=O)c1ccccc1,2008
"Article; Korotaev, Vladislav Yu.; Sosnovskikh, Vyacheslav Ya.; Kutyashev, Igor B.; Barkov, Alexey Yu.; Shklyaev, Yurii V.; Tetrahedron Letters; vol. 49; 37; (2008); p. 5376 - 5379;",CC1=NC(C)(C)Cc2cc(C)c(C)cc21.O=[N+]([O-])C1=Cc2cc(Br)ccc2OC1C(Cl)(Cl)Cl>>Cc1cc2c(cc1C)C(C[C@@H]1c3cc(Br)ccc3O[C@@H](C(Cl)(Cl)Cl)C1[N+](=O)[O-])=NC(C)(C)C2,2008
"Article; Gao, Peng; Wang, Chungui; Wu, Yang; Zhou, Zhenghong; Tang, Chuchi; European Journal of Organic Chemistry; 27; (2008); p. 4563 - 4566;",CC(=O)CC(C)=O.COc1cccc(C=C[N+](=O)[O-])c1>>COc1cccc([C@H](C[N+](=O)[O-])C(C(C)=O)C(C)=O)c1,2008
"Article; Albrecht, Lukasz; Richter, Bo; Krawczyk, Henryk; Jorgensen, Karl Anker; Journal of Organic Chemistry; vol. 73; 21; (2008); p. 8337 - 8343;",C=C(C(=O)OCC)P(=O)(OCC)OCC.CCCC=O>>CCOC(=O)C(C[C@H](C=O)CC)P(=O)(OCC)OCC,2008
"Article; Zhu, Qiang; Lu, Yixin; Organic Letters; vol. 10; 21; (2008); p. 4803 - 4806;",C=C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1.CC(C)CC=O>>CC(C)[C@@H](C=O)CC(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,2008
"Article; Miao, Tao; Wang, Lei; Li, Pinhua; Yan, Jincan; Synthesis; 23; (2008); p. 3828 - 3834;",COc1ccc(/C=C/[N+](=O)[O-])cc1OC.O=C1CCCCC1>>COc1ccc([C@H](C[N+](=O)[O-])[C@@H]2CCCCC2=O)cc1OC,2008
"Article; Garcia-Garcia, Patricia; Ladepeche, Arnaud; Halder, Rajkumar; List, Benjamin; Angewandte Chemie - International Edition; vol. 47; 25; (2008); p. 4719 - 4721;",CC=O.O=[N+]([O-])C=Cc1ccccc1>>O=CC[C@H](C[N+](=O)[O-])c1ccccc1,2008
"Article; Malerich, Jeremiah P.; Hagihara, Koji; Rawal, Viresh H.; Journal of the American Chemical Society; vol. 130; 44; (2008); p. 14416 - 14417;",CC(=O)CC(C)=O.O=[N+]([O-])C=Cc1ccc(Br)cc1>>CC(=O)C(C(C)=O)[C@@H](C[N+](=O)[O-])c1ccc(Br)cc1,2008
"Article; Yang, Ying-Quan; Zhao, Gang; Chemistry - A European Journal; vol. 14; 35; (2008); p. 10888 - 10891;",CC(=O)C=Cc1ccc([N+](=O)[O-])cc1.O=C(CC(=O)OCc1ccccc1)OCc1ccccc1>>CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)C(C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,2008
"Article; Hynes, Peter S.; Stupple, Paul A.; Dixon, Darren J.; Organic Letters; vol. 10; 7; (2008); p. 1389 - 1391;",COC(=O)CC(=O)OC.O=[N+]([O-])/C=C/c1ccc(F)cc1>>COC(=O)C(C(=O)OC)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1,2008
"Article; Wang, Yongcan; Li, Pengfei; Liang, Xinmiao; Zhang, Tony Y.; Ye, Jinxing; Chemical Communications; 10; (2008); p. 1232 - 1234;",C[N+](=O)[O-].O=C/C=C/c1ccc(F)cc1>>O=CC[C@H](C[N+](=O)[O-])c1ccc(F)cc1,2008
"Article; Andres, Jose M.; Manzano, Ruben; Pedrosa, Rafae; Chemistry - A European Journal; vol. 14; 17; (2008); p. 5116 - 5119;",CCOC(=O)CC(=O)OCC.O=[N+]([O-])C=Cc1ccc(Cl)cc1>>CCOC(=O)C(C(=O)OCC)[C@H](C[N+](=O)[O-])c1ccc(Cl)cc1,2008
"Article; Malerich, Jeremiah P.; Hagihara, Koji; Rawal, Viresh H.; Journal of the American Chemical Society; vol. 130; 44; (2008); p. 14416 - 14417;",CC(=O)CC(C)=O.O=[N+]([O-])C=Cc1ccc(Cl)cc1Cl>>CC(=O)C(C(C)=O)[C@@H](C[N+](=O)[O-])c1ccc(Cl)cc1Cl,2008
"Article; Sznt, Gbor; Gruen, Alajos; Kdas, Istvn; Bombicz, Petra; Chirality; vol. 20; 10; (2008); p. 1120 - 1126;",CC(=O)C=Cc1ccc2c(c1)OCO2.C[N+](=O)[O-]>>CC(=O)C[C@@H](C[N+](=O)[O-])c1ccc2c(c1)OCO2,2008
"Article; Saravanan, Sivaperuman; Azath, Ismail Abulkalam; Muthusubramanian, Shanmugam; Journal of Organic Chemistry; vol. 73; 6; (2008); p. 2323 - 2329;",CCOC(=O)CC#N.O=C(/C=C/c1ccc(Cl)cc1)c1ccc(Cl)cc1>>CCOC(=O)C(C#N)C(CC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1,2008
"Article; Saravanan, Sivaperuman; Azath, Ismail Abulkalam; Muthusubramanian, Shanmugam; Journal of Organic Chemistry; vol. 73; 6; (2008); p. 2323 - 2329;",CCOC(=O)CC#N.COc1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1>>CCOC(=O)C(C#N)C(CC(=O)c1ccc(Cl)cc1)c1ccc(OC)cc1,2008
"Article; Malerich, Jeremiah P.; Hagihara, Koji; Rawal, Viresh H.; Journal of the American Chemical Society; vol. 130; 44; (2008); p. 14416 - 14417;",CC(=O)CC(C)=O.COc1ccc(C=C[N+](=O)[O-])cc1>>COc1ccc([C@H](C[N+](=O)[O-])C(C(C)=O)C(C)=O)cc1,2008
"Article; Yang, Xu; Zhou, Xin; Lin, Lili; Chang, Lu; Liu, Xiaohua; Feng, Xiaoming; Angewandte Chemie - International Edition; vol. 47; 37; (2008); p. 7079 - 7081;",CC[N+](=O)[O-].O=[N+]([O-])C=Cc1ccccc1>>CC(C(C[N+](=O)[O-])c1ccccc1)[N+](=O)[O-],2008
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",COc1ccc(C(C)=O)cc1.O=[N+]([O-])/C=C/c1ccccc1>>COc1ccc(C(=O)CC(C[N+](=O)[O-])c2ccccc2)cc1,2009
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",CC(=O)c1nccs1.O=[N+]([O-])/C=C/c1ccccc1>>O=C(C[C@@H](C[N+](=O)[O-])c1ccccc1)c1nccs1,2009
"Article; Chen, Donghui; Chen, Zhenling; Xiao, Xiao; Yang, Zhigang; Lin, Lili; Liu, Xiaohua; Feng, Xiaoming; Chemistry - A European Journal; vol. 15; 28; (2009); p. 6807 - 6810;",CC(C)OC(=O)CC(=O)OC(C)C.O=C(C=CC=Cc1ccccc1)c1ccccc1>>CC(C)OC(=O)C(C(=O)OC(C)C)C(C=Cc1ccccc1)CC(=O)c1ccccc1,2009
"Article; Alba, Andrea-Nekane; Companyo, Xavier; Moyano, Albert; Rios, Ramon; Chemistry - A European Journal; vol. 15; 42; (2009); p. 11095 - 11099;",O=CC=CCCCCOC(=O)c1ccccc1.O=S(=O)(CS(=O)(=O)c1ccccc1)c1ccccc1>>O=CC[C@@H](CCCCOC(=O)c1ccccc1)C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,2009
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",CC(=O)c1ccccc1.O=[N+]([O-])C=Cc1ccc2ccccc2c1>>O=C(CC(C[N+](=O)[O-])c1ccc2ccccc2c1)c1ccccc1,2009
"Article; Chen, Donghui; Chen, Zhenling; Xiao, Xiao; Yang, Zhigang; Lin, Lili; Liu, Xiaohua; Feng, Xiaoming; Chemistry - A European Journal; vol. 15; 28; (2009); p. 6807 - 6810;",CC(C)OC(=O)CC(=O)OC(C)C.O=C(C=Cc1cccs1)c1ccccc1>>CC(C)OC(=O)C(C(=O)OC(C)C)C(CC(=O)c1ccccc1)c1cccs1,2009
"Article; Chen, Donghui; Chen, Zhenling; Xiao, Xiao; Yang, Zhigang; Lin, Lili; Liu, Xiaohua; Feng, Xiaoming; Chemistry - A European Journal; vol. 15; 28; (2009); p. 6807 - 6810;",CC(C)OC(=O)CC(=O)OC(C)C.O=C(C=Cc1ccco1)c1ccccc1>>CC(C)OC(=O)C(C(=O)OC(C)C)C(CC(=O)c1ccccc1)c1ccco1,2009
"Article; Alza, Esther; Pericas, Miquel A.; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3051 - 3056;",CC=O.O=[N+]([O-])/C=C/c1ccccc1>>O=CC[C@H](C[N+](=O)[O-])c1ccccc1,2009
"Patent; Wang, Wei; US2009/88588; (2009); A1;",CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccc(Br)cc1>>CC(=O)C(C(C)=O)[C@@H](C[N+](=O)[O-])c1ccc(Br)cc1,2009
"Article; Alba, Andrea-Nekane; Companyo, Xavier; Moyano, Albert; Rios, Ramon; Chemistry - A European Journal; vol. 15; 42; (2009); p. 11095 - 11099;",CCOC(=O)C=CC=O.O=S(=O)(CS(=O)(=O)c1ccccc1)c1ccccc1>>CCOC(=O)[C@H](CC=O)C(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,2009
"Article; Russo, Alessio; Perfetto, Alessandra; Lattanzi, Alessandra; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3067 - 3071;",N#CCC#N.O=C(/C=C/c1ccccc1)c1ccccc1>>N#CC(C#N)[C@H](CC(=O)c1ccccc1)c1ccccc1,2009
"Article; Tan, Bin; Zhang, Xuan; Chua, Pei Juan; Zhong, Guofu; Chemical Communications; 7; (2009); p. 779 - 781;",O=C(CC(=O)c1ccccc1)c1ccccc1.O=[N+]([O-])/C=C/c1ccc(Cl)cc1>>O=C(c1ccccc1)C(C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccc(Cl)cc1,2009
"Article; Chuan, Yongming; Chen, Guihua; Peng, Yungui; Tetrahedron Letters; vol. 50; 25; (2009); p. 3054 - 3058;",O=C1CCCCC1.O=[N+]([O-])C=Cc1ccccc1Cl>>O=C1CCCC[C@H]1[C@@H](C[N+](=O)[O-])c1ccccc1Cl,2009
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; Organic Letters; vol. 11; 15; (2009); p. 3270 - 3273;",CC(=O)C(C)C.CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)C(C)C)[Si](C)(C)c1ccccc1,2009
"Article; Nodes, William J.; Nutt, David R.; Chippindale, Ann M.; Cobb, Alexander J. A.; Journal of the American Chemical Society; vol. 131; 44; (2009); p. 16016 - 16017;",CCOC(=O)/C=C/COCCC[N+](=O)[O-]>>CCOC(=O)C[C@H]1COCC[C@@H]1[N+](=O)[O-],2009
"Article; Liao, Yu-Hua; Zhang, Hui; Wu, Zhi-Jun; Cun, Lin-Feng; Zhang, Xiao-Mei; Yuan, Wei-Cheng; Tetrahedron Asymmetry; vol. 20; 20; (2009); p. 2397 - 2402;",O=C1c2ccccc2Cc2ccccc21.O=[N+]([O-])/C=C/c1ccccc1>>O=C1c2ccccc2C(C(C[N+](=O)[O-])c2ccccc2)c2ccccc21,2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",C[N+](=O)[O-].Cc1noc(/C=C/c2ccccn2)c1[N+](=O)[O-]>>Cc1noc(C[C@H](C[N+](=O)[O-])c2ccccn2)c1[N+](=O)[O-],2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",C[N+](=O)[O-].Cc1noc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)c1[N+](=O)[O-]>>Cc1noc(C[C@H](C[N+](=O)[O-])c2ccc3ccc4cccc5ccc2c3c45)c1[N+](=O)[O-],2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",C[N+](=O)[O-].Cc1noc(/C=C/c2ccccc2)c1[N+](=O)[O-]>>Cc1noc(C[C@@H](C[N+](=O)[O-])c2ccccc2)c1[N+](=O)[O-],2009
"Article; Chen, Donghui; Chen, Zhenling; Xiao, Xiao; Yang, Zhigang; Lin, Lili; Liu, Xiaohua; Feng, Xiaoming; Chemistry - A European Journal; vol. 15; 28; (2009); p. 6807 - 6810;",CC(C)OC(=O)CC(=O)OC(C)C.COc1cccc(C(=O)C=Cc2ccccc2)c1>>COc1cccc(C(=O)CC(c2ccccc2)C(C(=O)OC(C)C)C(=O)OC(C)C)c1,2009
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",CC(=O)c1ccccc1.O=[N+]([O-])C=Cc1ccc(Cl)cc1>>O=C(CC(C[N+](=O)[O-])c1ccc(Cl)cc1)c1ccccc1,2009
"Article; Han, Xiao; Luo, Jie; Liu, Chen; Lu, Yixin; Chemical Communications; 15; (2009); p. 2044 - 2046;",CCOC(=O)C(F)C(C)=O.O=[N+]([O-])/C=C/c1ccccc1>>CCOC(=O)C(F)(C(C)=O)C(C[N+](=O)[O-])c1ccccc1,2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",COc1ccc(/C=C/c2onc(C)c2[N+](=O)[O-])cc1.C[N+](=O)[O-]>>COc1ccc([C@@H](Cc2onc(C)c2[N+](=O)[O-])C[N+](=O)[O-])cc1,2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",C[N+](=O)[O-].Cc1noc(/C=C/c2cccc(Cl)c2)c1[N+](=O)[O-]>>Cc1noc(C[C@H](C[N+](=O)[O-])c2cccc(Cl)c2)c1[N+](=O)[O-],2009
"Article; Chen, Donghui; Chen, Zhenling; Xiao, Xiao; Yang, Zhigang; Lin, Lili; Liu, Xiaohua; Feng, Xiaoming; Chemistry - A European Journal; vol. 15; 28; (2009); p. 6807 - 6810;",CC(C)OC(=O)CC(=O)OC(C)C.O=C(C=Cc1ccccc1)c1ccc([N+](=O)[O-])cc1>>CC(C)OC(=O)C(C(=O)OC(C)C)C(CC(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1,2009
"Article; Baschieri, Andrea; Bernardi, Luca; Ricci, Alfredo; Suresh, Surisetti; Adamo, Mauro F. A.; Angewandte Chemie - International Edition; vol. 48; 49; (2009); p. 9342 - 9345;",C[N+](=O)[O-].Cc1noc(/C=C/c2ccc(Cl)cc2Cl)c1[N+](=O)[O-]>>Cc1noc(C[C@H](C[N+](=O)[O-])c2ccc(Cl)cc2Cl)c1[N+](=O)[O-],2009
"Article; Russo, Alessio; Perfetto, Alessandra; Lattanzi, Alessandra; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3067 - 3071;",Cc1ccc(/C=C/C(=O)c2ccccc2)cc1.N#CCC#N>>Cc1ccc([C@@H](CC(=O)c2ccccc2)C(C#N)C#N)cc1,2009
"Article; Wang, Chao; Yu, Chun; Liu, Changlu; Peng, Yungui; Tetrahedron Letters; vol. 50; 20; (2009); p. 2363 - 2366;",CCCC/C=C/[N+](=O)[O-].O=C1CCCCC1>>CCCC[C@H](C[N+](=O)[O-])[C@@H]1CCCCC1=O,2009
"Article; Russo, Alessio; Perfetto, Alessandra; Lattanzi, Alessandra; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3067 - 3071;",N#CCC#N.O=C(/C=C/c1ccccc1)c1ccc(Br)cc1>>N#CC(C#N)[C@H](CC(=O)c1ccc(Br)cc1)c1ccccc1,2009
"Article; Li, Pengfei; Wen, Shigang; Yu, Feng; Liu, Qiaoxia; Li, Wenjun; Wang, Yongcan; Liang, Xinmiao; Ye, Jinxing; Organic Letters; vol. 11; 3; (2009); p. 753 - 756;",CC(=O)C=Cc1cccs1.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@H](CC(C)=O)c1cccs1,2009
"Article; Russo, Alessio; Perfetto, Alessandra; Lattanzi, Alessandra; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3067 - 3071;",N#CCC#N.O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1>>N#CC(C#N)[C@H](CC(=O)c1ccccc1)c1ccc(Cl)cc1,2009
"Patent; Wang, Wei; US2009/88588; (2009); A1;",CC(=O)CC(C)=O.Cc1ccc(/C=C/[N+](=O)[O-])cc1>>CC(=O)C(C(C)=O)[C@@H](C[N+](=O)[O-])c1ccc(C)cc1,2009
Article; Srihari; Marthanda Murthy; Synthetic Communications; vol. 39; 5; (2009); p. 896 - 906;,CCOC(=O)CC(=O)c1ccccc1.COc1ccc(C=C[N+](=O)[O-])cc1>>CCOC(=O)C(C(=O)c1ccccc1)C(C[N+](=O)[O-])c1ccc(OC)cc1,2009
"Article; Zhang, Xue-Jing; Liu, Sheng-Ping; Li, Xue-Ming; Yan, Ming; Chan, Albert S. C.; Chemical Communications; 7; (2009); p. 833 - 835;",CC(C)C=O.O=[N+]([O-])/C=C/c1ccc(Cl)cc1>>CC(C)(C=O)C(C[N+](=O)[O-])c1ccc(Cl)cc1,2009
"Article; Ni, Bukuo; Zhang, Qianying; Dhungana, Kritanjali; Headley, Allan D.; Organic Letters; vol. 11; 4; (2009); p. 1037 - 1040;",O=C1CCCC1.O=[N+]([O-])/C=C/c1ccccc1>>O=C1CCC[C@H]1[C@@H](C[N+](=O)[O-])c1ccccc1,2009
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",CC(C)=O.O=[N+]([O-])/C=C/c1ccco1>>CC(=O)CC(C[N+](=O)[O-])c1ccco1,2009
"Article; Jiang, Xianxing; Zhang, Yifu; Chan, Albert S. C.; Wang, Rui; Organic Letters; vol. 11; 1; (2009); p. 153 - 156;",CC(=O)c1nccs1.O=[N+]([O-])/C=C/c1ccccc1>>O=C(CC(C[N+](=O)[O-])c1ccccc1)c1nccs1,2009
"Article; Chua, Pei Juan; Tan, Bin; Zeng, Xiaofei; Zhong, Guofu; Bioorganic and Medicinal Chemistry Letters; vol. 19; 14; (2009); p. 3915 - 3918;",O=C1CCCCC1.O=[N+]([O-])/C=C/C=C/c1ccccc1>>O=C1CCCC[C@H]1[C@H](/C=C/c1ccccc1)C[N+](=O)[O-],2009
"Article; Sealy, Jennifer M.; Truong, Anh P.; Tso, Luke; Probst, Gary D.; Aquino, Jose; Hom, Roy K.; Jagodzinska, Barbara M.; Dressen, Darren; Wone, David W.G.; Brogley, Louis; John, Varghese; Tung, Jay S.; Pleiss, Michael A.; Tucker, John A.; Konradi, Andrei W.; Dappen, Michael S.; Toth, Gergely; Pan, Hu; Ruslim, Lany; Miller, Jim; Bova, Michael P.; Sinha, Sukanto; Quinn, Kevin P.; Sauer, John-Michael; Bioorganic and Medicinal Chemistry Letters; vol. 19; 22; (2009); p. 6386 - 6391;",C=CC(=O)OCC.CCOC(=O)C(C#N)c1cccc(C(C)(C)C)c1>>CCOC(=O)CCC(C#N)(C(=O)OCC)c1cccc(C(C)(C)C)c1,2009
"Article; Lombardo, Marco; Chiarucci, Michel; Quintavalla, Arianna; Trombini, Claudio; Advanced Synthesis and Catalysis; vol. 351; 17; (2009); p. 2801 - 2806;",CCC=O.O=[N+]([O-])C=Cc1ccc(Br)cc1>>CC(C=O)C(C[N+](=O)[O-])c1ccc(Br)cc1,2009
Article; Srihari; Marthanda Murthy; Synthetic Communications; vol. 39; 5; (2009); p. 896 - 906;,CCOC(=O)CC(C)=O.COc1ccccc1C=C[N+](=O)[O-]>>CCOC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccccc1OC,2009
"Article; Tan, Bin; Zhang, Xuan; Chua, Pei Juan; Zhong, Guofu; Chemical Communications; 7; (2009); p. 779 - 781;",O=C(CC(=O)c1ccccc1)c1ccccc1.O=[N+]([O-])/C=C/c1ccccc1>>O=C(c1ccccc1)C(C(=O)c1ccccc1)[C@H](C[N+](=O)[O-])c1ccccc1,2009
"Article; Liao, Yu-Hua; Zhang, Hui; Wu, Zhi-Jun; Cun, Lin-Feng; Zhang, Xiao-Mei; Yuan, Wei-Cheng; Tetrahedron Asymmetry; vol. 20; 20; (2009); p. 2397 - 2402;",O=C1c2ccccc2Cc2ccccc21.O=[N+]([O-])C=Cc1cccc(C(F)(F)F)c1>>O=C1c2ccccc2C(C(C[N+](=O)[O-])c2cccc(C(F)(F)F)c2)c2ccccc21,2009
"Article; Liao, Yu-Hua; Zhang, Hui; Wu, Zhi-Jun; Cun, Lin-Feng; Zhang, Xiao-Mei; Yuan, Wei-Cheng; Tetrahedron Asymmetry; vol. 20; 20; (2009); p. 2397 - 2402;",O=C1c2ccccc2Cc2ccccc21.O=[N+]([O-])C=Cc1cccc(Br)c1>>O=C1c2ccccc2C(C(C[N+](=O)[O-])c2cccc(Br)c2)c2ccccc21,2009
"Article; Smith III, Amos B.; Atasoylu, Onur; Beshoreb, Douglas C.; Synlett; 16; (2009); p. 2643 - 2646;",C#CC(N)=O.COC(=O)C1CCCCCC1=O>>COC(=O)C1(C=CC(N)=O)CCCCCC1=O,2009
"Article; Smith III, Amos B.; Atasoylu, Onur; Beshoreb, Douglas C.; Synlett; 16; (2009); p. 2643 - 2646;",C#CC(N)=O.COC(=O)C1CCCCCCC1=O>>COC(=O)C1(C=CC(N)=O)CCCCCCC1=O,2009
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; Organic Letters; vol. 11; 15; (2009); p. 3270 - 3273;",CC(=O)CC(C)C.CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CC(C)C)[Si](C)(C)c1ccccc1,2009
"Article; Raghuvanshi, Raghvendra Singh; Singh, Krishna Nand; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 48; 8; (2009); p. 1161 - 1163;",CCOC(=O)CC(C)=O.O=C(C=Cc1cccc([N+](=O)[O-])c1)c1ccccc1>>CCOC(=O)C(C(C)=O)C(CC(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1,2009
"Article; Li, Hao; Zu, Liansuo; Xie, Hexin; Wang, Wei; Synthesis; 9; (2009); p. 1525 - 1530;",CC(C)C/C=C/[N+](=O)[O-].COC(=O)C(F)C(=O)OC>>COC(=O)C(F)(C(=O)OC)[C@@H](CC(C)C)C[N+](=O)[O-],2009
"Article; Zhang, Xue-jing; Liu, Sheng-ping; Lao, Jin-hua; Du, Guang-jian; Yan, Ming; Chan, Albert S.C.; Tetrahedron Asymmetry; vol. 20; 12; (2009); p. 1451 - 1458;",CCCC=O.O=[N+]([O-])/C=C/c1ccccc1>>CCC(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,2009
"Article; Mei, Kul; Jin, Mel; Zhang, Shilei; Li, Ping; Liu, Wenjing; Chen, Xiaobei; Xue, Fei; Duan, Wenhu; Wang, Wei; Organic Letters; vol. 11; 13; (2009); p. 2864 - 2867;",CC(=O)C=Cc1ccc2c(c1)OCO2.C[N+](=O)[O-]>>CC(=O)CC(C[N+](=O)[O-])c1ccc2c(c1)OCO2,2009
"Article; Zhang, Xue-Jing; Liu, Sheng-Ping; Li, Xue-Ming; Yan, Ming; Chan, Albert S. C.; Chemical Communications; 7; (2009); p. 833 - 835;",CC(C)C=O.O=[N+]([O-])/C=C/C=C/c1ccccc1>>CC(C)(C=O)C(/C=C/c1ccccc1)C[N+](=O)[O-],2009
Article; Srihari; Marthanda Murthy; Synthetic Communications; vol. 39; 5; (2009); p. 896 - 906;,CCOC(=O)CC(=O)c1ccccc1.O=[N+]([O-])C=Cc1ccccc1>>CCOC(=O)C(C(=O)c1ccccc1)C(C[N+](=O)[O-])c1ccccc1,2009
"Article; Kim, Se Hee; Kim, Eun Sun; Kim, Taek Hyeon; Kim, Jae Nyoung; Tetrahedron Letters; vol. 50; 46; (2009); p. 6256 - 6260;",C=CCOC(=O)CC(C)=O.O=C1C=CCCCC1>>C=CCOC(=O)C(C(C)=O)C1CCCCC(=O)C1,2009
"Article; Russo, Alessio; Perfetto, Alessandra; Lattanzi, Alessandra; Advanced Synthesis and Catalysis; vol. 351; 18; (2009); p. 3067 - 3071;",N#CCC#N.O=C(/C=C/c1ccccc1)c1ccc2ccccc2c1>>N#CC(C#N)[C@H](CC(=O)c1ccc2ccccc2c1)c1ccccc1,2009
"Article; Chowdhury, Raghunath; Ghosh, Sunil K.; Organic Letters; vol. 11; 15; (2009); p. 3270 - 3273;",CCC(C)=O.CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC>>CCOC(=O)C(C(=O)OCC)[C@H](CC(=O)CC)[Si](C)(C)c1ccccc1,2009
